Feature,Gain
Contract,59.001495361328125
InternetService,26.43474769592285
OnlineSecurity,15.423458099365234
TechSupport,8.38713264465332
tenure,4.809476852416992
StreamingMovies,3.930875062942505
PaperlessBilling,3.6824514865875244
MultipleLines,3.618828535079956
PhoneService,3.4071309566497803
TotalCharges,3.3688368797302246
MonthlyCharges,3.0328919887542725
OnlineBackup,2.874847173690796
PaymentMethod,2.7304301261901855
SeniorCitizen,2.7246408462524414
Dependents,2.638592004776001
gender,2.2526297569274902
DeviceProtection,2.248852252960205
StreamingTV,1.9388610124588013
Partner,1.6692359447479248
